LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.2
Lattice spacing in x,y,z = 1.4938016 1.4938016 1.4938016
region          box prism 0 8 0 8 0 8 0 -0.5 0.5
# number of atom types
create_box      1 box
Created triclinic box = (0 0 0) to (11.950413 11.950413 11.950413) with tilt (0 -0.74690079 0.74690079)
  2 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in triclinic box = (0 0 0) to (11.950413 11.950413 11.950413) with tilt (0 -0.74690079 0.74690079)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 20 20 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton/tri
      stencil: half/bin/3d/tri
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.078 | 3.078 | 3.078 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.5982422    
       500   3.1719684      2.3261409      0              7.0817703      38.497689    
      1000   2.9955967      2.3599791      0              6.85118        39.11321     
      1500   3.0263815      2.1873216      0              6.7246773      37.419845    
      2000   2.9340324      2.3017401      0              6.7006397      38.203865    
      2500   3.0112771      2.2136177      0              6.7283278      37.532912    
      3000   3.0357728      2.2547549      0              6.8061907      37.807774    
      3500   2.991939       2.2705033      0              6.7562204      38.046794    
      4000   3.0539932      2.2116472      0              6.7904002      37.459819    
      4500   3.0031343      2.4338646      0              6.9363665      39.620042    
      5000   2.989562       2.2660351      0              6.7481885      37.749801    
      5500   3.0005497      2.3934771      0              6.892104       39.318735    
      6000   2.8462604      2.4127148      0              6.6800208      39.155441    
      6500   2.9968028      2.2320076      0              6.7250169      37.818343    
      7000   3.0676673      2.1746056      0              6.7738597      37.313432    
      7500   3.0362083      2.409854       0              6.9619427      39.827203    
      8000   2.9655756      2.3342573      0              6.7804486      38.750755    
      8500   3.0472348      2.4506697      0              7.01929        40.441425    
      9000   2.9586247      2.3476799      0              6.7834499      39.178669    
      9500   3.0730674      2.4311538      0              7.0385041      39.938178    
     10000   2.9485386      2.3444246      0              6.7650728      39.001885    
     10500   3.1111853      2.2979216      0              6.9624209      38.518995    
     11000   2.9525532      2.3673856      0              6.7940529      39.075272    
     11500   2.991607       2.328719       0              6.8139385      38.778628    
     12000   3.058097       2.2561807      0              6.8410863      37.924242    
     12500   2.9672244      2.1994404      0              6.6481037      37.417485    
     13000   3.0015007      2.3130777      0              6.8131304      38.414663    
     13500   3.0782518      2.2596026      0              6.8747257      38.660815    
     14000   2.9710142      2.4257548      0              6.8801         40.000913    
     14500   3.0312142      2.4601932      0              7.0047943      40.078343    
     15000   2.9815957      2.234638       0              6.7048477      37.607095    
     15500   3.0842651      2.323439       0              6.9475776      39.030483    
     16000   2.9835749      2.3731785      0              6.8463556      39.445929    
     16500   2.9934533      2.4581104      0              6.9460979      40.113219    
     17000   3.01223        2.3634931      0              6.879632       39.011675    
     17500   2.9286977      2.4167231      0              6.8076246      39.945366    
     18000   2.9956256      2.3868736      0              6.8781179      39.154664    
     18500   3.0501195      2.3273232      0              6.9002685      38.816265    
     19000   3.0659894      2.5118582      0              7.1085967      40.729312    
     19500   2.9800074      2.2801169      0              6.7479454      38.322053    
     20000   2.9641243      2.3460674      0              6.7900829      38.655842    
     20500   3.0171692      2.347145       0              6.870689       38.743521    
     21000   3.0074053      2.2893429      0              6.7982483      38.440081    
     21500   3.0560733      2.3366944      0              6.918566       38.730303    
     22000   2.9703953      2.3450502      0              6.7984676      39.151131    
     22500   2.9783084      2.317045       0              6.7823261      38.665156    
     23000   3.0463415      2.2431125      0              6.8103935      37.545388    
     23500   3.0341781      2.5009839      0              7.0500287      40.810854    
     24000   2.9877305      2.2565301      0              6.7359375      37.869202    
     24500   3.0116011      2.26221        0              6.7774058      37.996013    
     25000   3.1409167      2.3394664      0              7.0485409      39.36143     
     25500   2.9805963      2.2823886      0              6.7510999      37.974442    
     26000   3.0341621      2.4512307      0              7.0002516      40.175935    
     26500   2.9436872      2.3526329      0              6.7660077      39.0136      
     27000   3.0579814      2.270019       0              6.8547514      38.276691    
     27500   3.0205209      2.277627       0              6.8061961      38.084615    
     28000   3.1455203      2.3791827      0              7.0951592      39.48715     
     28500   2.9615271      2.3645674      0              6.8046891      39.061759    
     29000   3.0754724      2.3959113      0              7.0068673      39.763446    
     29500   3.0454098      2.1961752      0              6.7620593      37.32743     
     30000   3.0024995      2.4160972      0              6.9176473      39.667522    
     30500   3.0140115      2.2437578      0              6.7625675      37.953236    
     31000   2.9929687      2.4794457      0              6.9667066      40.339993    
     31500   2.9212614      2.3918988      0              6.7716513      39.520064    
     32000   3.0711236      2.3225095      0              6.9269456      38.545829    
     32500   2.9901222      2.3520562      0              6.8350495      39.021136    
     33000   3.0670578      2.1618569      0              6.7601971      36.980533    
     33500   3.0066568      2.3588993      0              6.8666824      38.96799     
     34000   2.9585039      2.2726061      0              6.7081951      38.256098    
     34500   2.957306       2.3813353      0              6.8151283      39.466398    
     35000   2.9472172      2.2880698      0              6.7067369      38.343872    
     35500   3.0061479      2.3493006      0              6.8563208      38.694401    
     36000   3.0172713      2.368834       0              6.892531       38.882567    
     36500   3.0310414      2.3100451      0              6.8543872      38.312011    
     37000   3.0399465      2.3784365      0              6.9361297      39.408745    
